 ,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,Vero-E6 Zaliani ,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,,,,Red Flags,,,
Moxonidine,Antihypertensive,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction","ADRA2A, ADRA2B, ADRA2C",imidazoline receptor agonist,,,,241.682,0.81812,6,2,2,71.43,0,,0.05,0.9675,0.157,19.01,,,,0,-1.972047955,0,0,Inactive,0,-4.571446414,0,0,Inactive,Inactive,0,1.899039839,0,0,Inactive,0,2.379901489,0,0,Inactive,Inactive,0,0.060749166,,,,,,0,-28.34341794,,,,,,,About 10% of moxonidine is bound to plasma proteins. [FDA label],2.20 hours,88%,NA,NA,Category B3,Use with caution
Lubiprostone,"Peristaltic accelerator, Softener,",Mineral absorption,CLCN2,chloride channel activator,,,,390.467,4.1525,4,2,14,91.67,3,15.74,0.06,,,4.135,,,,0.316227766,-137.3361044,0.3162,33.381,Inconclusive,0,-0.500699445,0,0,Inactive,Inactive,0,-18.30548514,0,0,Inactive,0,1.110682404,0,0,Inactive,Inactive,0,-6.62631798,,,,,,0,-41.34699071,,,,,,,94%,0.9 to 1.4 hours,,None,Hypersensitivity,NA,use with caution
Capmatinib,Antineoplastic,"Ras signaling pathway, PI3K-Akt signaling pathway",,,,,,412.428,3.429,6,1,4,85.07,0,1.59,1.09,,,8.178,,,,39.81071706,-9.18247318,,,,0,0,,,,,,,,,,,,,,,,0,5.29026748,,,,,,0,-27.65320488,,,,,,,Plasma protein binding is approximately 96% and is independent of drug serum concentration.[L13347],The elimination half-life is 6.5 hours.[L13347],>70%.,None,NA,NA,Not recommended
Cinnarizine,"Anti-emetic, Antivertigo","Calcium signaling pathway, Neuroactive ligand-receptor interaction",,,,,,368.524,5.107,2,0,6,6.48,0,5.27,-0.1,0.6874,0.3702,31.02,,,,1.77827941,-46.72737001,0.7943,37.7759,Inconclusive,0,3.330601675,0,0,Inactive,Inactive,3.16227766,-223.2866898,0,0,Inactive,0,4.823314883,0,0,Inactive,Inactive,0,1.614210273,,,,,,0,-38.41020557,,,,,,,,,,NA,NA,NA,Not recommended
Tedizolid,Antibacterial,Ribosome- protein biosynthesis,,bacterial 50S ribosomal subunit inhibitor,,,,370.344,1.3957,8,1,4,106.26,1,11.24,0.01,,0.1987,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Approximately 70 to 90% of tedizolid is bound to human plasma proteins.[L11232, A199050, A199152, A199155]","Tedizolid has a half-life of approximately 12 hours.[L11232, A199140, A7642]",0.91,Cyproheptadiene,NA,NA,Use with caution
Treprostinil,"Anticoagulant, Antihypertensive, Vasodilator","Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction, Platelet activation","P2RY12, PPARD, PTGIR",prostanoid receptor agonist,,,8.72,390.52,3.5832,4,3,10,86.99,5,,0.12,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Human plasma protein binding is approximately 91% in in vitro concentrations ranging from 330 to 10,000 &micro;/L.",0.82 hours,~100 % (subcutaneous),None,Severe hepatic impairement,Category B3,Use with caution
Amisulpride,Antipsychotic,"Neuroactive ligand-receptor interaction, Dopaminergic synapse",DRD2,dopamine receptor antagonist,,,8.55,369.487,1.2851,6,2,7,101.73,1,9.47,0.03,0.09462,0.2622,22.02,,,,0,-11.83258764,0,0,Inactive,0,-41.85628561,0,0,Inactive,Inactive,0,3.042740981,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,2.918712589,,,,,,0,-1.444791098,,,,,,,Plasma protein binding ranges from 25% to 30% in the concentration range from 37 to 1850 ng/mL. Amisulpride distributes into erythrocytes,Approximately 12 hours,48%,None,Hypersensitivity,Category C,Not recommended 
Agomelatine,Antidepressant,"Neuroactive ligand-receptor interaction, Circadian entrainment, Serotonergic synapse","HTR2A, HTR2B, HTR2C, MTNR1A, MTNR1B","melatonin receptor agonist, serotonin receptor antagonist",,,10.22,243.306,2.527,2,1,4,38.33,0,42.24,-0.03,,0.1484,14.2,,,,0,-3.138230543,0,0,Inactive,0,-2.555753991,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-3.976563136,0,0,Inactive,Inactive,0,0.098774856,,,,,,0,-6.490698419,,,,,,,> 95%,<2 hours,< 5%,NA,NA,Category B1,Not recommended
Nitisinone,Antityrosinemia,"Ubiquinone and other terpenoid-quinone biosynthesis, Tyrosine metabolism, Phenylalanine metabolism",,hydroxyphenylpyruvate dioxygenase inhibitor,,,,329.23,2.7346,5,0,3,94.35,0,,-0.1,,0.2981,24.42,,,,39.81071706,-131.7900216,39.8107,59.6712,Inconclusive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-0.233227572,,,,,,0,-18.59799257,,,,,,,,~54 hours,90%,NA,NA,Category B3,Not recommended
Etoricoxib,NSAIDs,Arachidonic acid metabolism,PTGS2,cyclooxygenase inhibitor,,,6.1,358.85,4.17592,4,0,3,59.92,0,12.43,0.32,0.1588,0.06952,22.4,,,,0.707945784,-52.54959883,0.7079,40.5712,Inconclusive,0,1.937852938,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.121620134,0,0,Inactive,Inactive,0,-1.052400261,,,,,,0,-20.24740092,,,,,,,92%,26 hours,99%,NA,NA,Category C,Not recommended
Moclobemide,Antidepressant,"Serotonergic synapse, Dopaminergic synapse, Tryptophan metabolism, Phenylalanine metabolism, Tyrosine metabolism","MAOA, MAOB",monoamine oxidase inhibitor,,,,268.744,1.402,3,1,4,41.57,0,-1.36,0.01,0.3217,0.1695,13.94,,,,0,-75.97169548,0,0,Inactive,0,10.38585445,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.927365198,0,0,Inactive,Inactive,0,-1.360573233,,,,,,0,-17.76346825,,,,,,,"Approximately 50% (primarily to albumin) [L1350]
",1.50 hours,75%,NA,NA,Category B3,Use with caution 
Safinamide,Antiparkinsonian,"Serotonergic synapse, Dopaminergic synapse",MAOB,"dopamine reuptake inhibitor, glutamate inhibitor, monoamine oxidase inhibitor",,,,302.349,2.3681,3,2,7,64.35,1,,0.16,0.3615,0.04637,12.51,,,,0,0,0,0,Inactive,0,-44.11683162,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-7.405527314,0,0,Inactive,Inactive,0,-5.142339843,,,,,,0,-6.931474965,,,,,,,88–90%,21.67 hours,0.95,Amitriptyline; amoxapine; amphetamine polistirex; clomipramine; cyclobenzaprine; cyproheptadine; desipramine; desvenlafaxine; deutetrabenazine; dexmethylphenidate; dextroamphetamine; dextromethorphan; diethylpropion; doxepin; duloxetine; fentanyl; fentanyl intranasal; fentanyl transdermal; fentanyl transmucosal; imipramine; isocarboxazid; levomilnacipran; linezolid; lisdexamfetamine; maprotiline; meperidine; methadone; methamphetamine; methylphenidate; milnacipran; morphine; nefazodone; nortriptyline; ozanimod; phendimetrazine; phenelzine; protriptyline; rasagiline; selegiline; selegiline transdermal; solriamfetol; St John's Wort; tapentadol; tramadol; tranylcypromine; trazodone; trimipramine; venlafaxine,"Swelling of lungs, oral mucosa; heoatic impairment",Category B3,Not recommended
Tasimelteon,Hypnotic,"Neuroactive ligand-receptor interaction, Circadian entrainment","MTNR1A, MTNR1B",melatonin receptor agonist,,,9.8,245.322,2.2512,2,1,4,38.33,2,28.66,-0.2,,0.1536,7.34,,,,0,-20.26376557,0,0,Inactive,0,-26.63688273,0,0,Inactive,Inactive,0,-74.42759341,0,0,Inactive,0,-8.454367117,0,0,Inactive,Inactive,0,-3.831770284,,,,,,0,-8.482150736,,,,,,,"At therapeutic concentrations, tasimelteon is about 90% bound to proteins.",0.75 hours,,None,None,NA,Not recommended
Voxelotor,Anti-anemic,NA,,hemoglobin modulator,,,5.09,337.379,3.6231,6,1,6,77.24,0,4.85,-0.09,,0.1638,16.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The protein binding of voxeletor is 99.8%, according to in vitro studies.[L10397]","The plasma elimination half-life of voxelotor in sickle cell disease patients is about 35.5 hours, according to the FDA label.[L10397] The mean half-life in the red blood cell is 60 days. The average plasma half-life of voxelotor was 50 hours in patients with sickle cell disease, compared with 61–85 hours in healthy patients, in one clinical study.[A188126]",,lonafarnib,Hypersensitivity,NA,Not recommended
Istradefylline,Antiparkinsonian,Neuroactive ligand-receptor interaction,"ADORA1, ADORA2A, ADORA2B, ADORA3",adenosine receptor antagonist,,,,384.436,2.1241,8,0,6,80.28,0,-0.25,0.09,,0.1372,5.647,,,,0.707945784,-73.33593341,0.7079,49.827,Inconclusive,0,-2.996001756,0,0,Inactive,Inactive,0,1.789245937,0,0,Inactive,0,-1.832820499,0,0,Inactive,Inactive,0,5.210021728,,,,,,0,-18.97251207,,,,,,,"Istradefylline is approximately 98% protein bound in plasma,[A184064] mostly to serum albumin and alpha-1-acid glycoprotein.[L8225]","The terminal elimination half life of istradefylline was 64-69 hours.[A184064,A184067]",,None,None,NA,Use with caution
Amifampridine,Autoimmune disease treatment,NA,,potassium channel blocker,,,,109.132,0.246,3,2,0,64.93,0,5.4,-0.16,,0.1603,35.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There is no human data on serum protein binding of amifampridine [A33863].,The plasma elimination half-life is approximately 2.5 hours for amifampridine and 4 hours for 3-N-acetylamifampridine [F272].,93-100%,None,Hypersensitivity; seizures,Category C,Use with caution
Revefenacin,Antiasthmatic,"Neuroactive ligand-receptor interaction, Cholinergic synapse",,cholinergic receptor antagonist,,,9.75,597.76,4.836,6,2,10,108.21,0,,0,,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The protein binding of revefenacin and its active metabolite is of 71% and 42% respectively.[FDA label],The apparent terminal half-life of a dose of 350 mcg of revefenacin was 22.3-70 hours.[A40025],,None,Hypersensitivity,NA,Use with caution
Tezacaftor,CFTR modulator,ABC transporters,,CFTR channel agonist,,,,520.504,3.3953,7,4,8,113.18,1,-1.16,-0.07,,0.1873,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.212447154,,,,,,0,-8.555862058,,,,,,,"Tezacaftor is approximately 99% bound to plasma proteins, mainly albumin.[L6814]","The apparent half-life of tezacaftor is approximately 57.2 hours.[A179665,L6829]",,lonafarnib,None,Category B3,Use with caution
Lemborexant,Hypnotic,Neuroactive ligand-receptor interaction,"HCRTR1, HCRTR2",orexin receptor antagonist,,,8.52,410.424,3.74204,5,1,6,77,2,15.02,-0.18,,,24.6,,,,0,0,,,,0,-14.16892565,,,,,,,,,,,,,,,,0,-10.77543886,,,,,,0,-9.194696294,,,,,,,"Lemborexant is approximately 94% protein-bound _in vitro_, though the specific proteins to which it binds in plasma have not been elucidated.[L10863]","The half-life for lemborexant at doses of 5mg and 10mg is 17 and 19 hours, respectively.[L10863]",,None,Narcolepsy,Category B3,Not recommended
Riluzole,Nerve cells protectant,"Neuroactive ligand-receptor interaction, Glutamatergic synapse, Dopaminergic synapse","KCNK10, KCNK2, KCNK4, KCNN4, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A, SLC7A11",glutamate inhibitor,,,,234.202,2.7771,4,1,1,48.14,0,4.91,-0.15,,0.1438,7.161,,,,0,13.72442103,0,0,Inactive,8.912509381,-51.37292463,0,0,Inactive,Inactive,0,-19.04576936,0,0,Inactive,0,-130.1703106,0,0,Inactive,Inactive,0,-3.60044197,,,,,,0,0.963558068,,,,,,,"96% bound to plasma proteins, mainly to albumin and lipoprotein over the clinical concentration range.",The mean elimination half-life of riluzole is 12 hours (CV=35%) after repeated doses.,64%,None,Hypersensitivity,Category B3,Not recommended
Tamsulosin,Antidysuria,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D",adrenergic receptor antagonist,,,,408.52,2.3409,6,2,11,99.88,1,,-0.07,,0.1193,22.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tamsulosin is 94%-99% protein bound, mostly to alpha-1-acid glycoprotein.[Label]",6.80 hours,99%,Ombitasvir/paritaprevir/ritonavir & dasabuvir,Hypersensitivity,Category B2,NA
Relugolix,"Antineoplastic, Anti-endometriosis","Neuroactive ligand-receptor interaction, GnRH signaling pathway",,gonadotropin releasing factor hormone receptor antagonist,,,,623.642,3.7505,11,2,9,132.61,0,,-0.04,,,3.22,,,,0,-5.77358573,,,,0,-37.80712732,,,,,,,,,,,,,,,,0,12.98535768,,,,,,0,-3.768845717,,,,,,,"Relugolix is 68-71% protein-bound in plasma, primarily to albumin and, to a lesser extent, α1-acid glycoprotein.[L27991]","The average effective half-life of relugolix is 25 hours, while the average terminal elimination half-life is 60.8 hours.[L27991]",0.12,None,None,NA,No sufficient information is available
Paritaprevir,Antiviral,Protein biosynthesis,,HCV inhibitor,,,,765.893,3.63692,10,3,7,189.65,5,0.28,-0.17,,0.151,14.05,,,,,,,,,,,,,,,,,,,,,,,,,,0,-5.94618196,,,,,,0,-18.50535767,,,,,,,97 to 98.6% bound to human plasma proteins [FDA Label].,8.71 hours,,NA,NA,NA,Not recommended
Venetoclax,Antineoplastic,Apoptosis,BCL2,BCL inhibitor,,,11,868.457,8.6599,11,3,13,172.03,0,,-0.29,,0.1129,21.72,,,,0,-15.92084643,,,,0,6.775515142,,,,,,,,,,,,,,,,0,12.36723935,,,,,,2.238721139,-111.5573818,,,,,,,Venetoclax is highly bound to human plasma protein with unbound fraction in plasma <0.01 across a concentration range of 1-30 µM (0.87-26 µg/mL). The mean blood-to-plasma ratio was 0.57 [FDA label].,"The half-life of venetoclax is reported to be 19-26 hours, after administration of a single 50-mg dose [A40022], [FDA label].",,"Atazanavir
Clarithromycin
Cobicistat
Conivaptan
Darunavir
Fosamprenavir
Grapefruit
Idelalisib
Imatinib
Indinavir
Isoniazid
Itraconazole
Ketoconazole
Lopinavir
Nefazodone
Nelfinavir
Nicardipine
Posaconazole
Ritonavir
Saquinavir
Tipranavir
Voriconazole
",Strong CYP3A inhibitors at initiation and during ramp-up phase,Category C,Not recommended
Osilodrostat,Antihypertensive,"Steroid hormone biosynthesis, Aldosterone synthesis and secretion",,cytochrome P450 inhibitor,,,8.6,227.242,2.42948,3,0,1,41.61,1,,-0.11,,,-5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Both osilodrostat and its M34.5 metabolite are minimally protein-bound in plasma at less than 40%.[L12123,L12132] The extent of protein-binding is independent of drug concentration.[L12132] The specific plasma proteins to which osilodrostat binds have not been elucidated.","The elimination half-life of osilodrostat is approximately 4 hours.[L12123,A191850]",,Lefamulin,None,NA,Not recommended
Uridine triacetate,"Antidote (5-fluorouracil, capecitabine)",NA,,,,,,370.314,-1.1395,10,1,5,142.99,4,-22.84,-0.02,,0.05866,6.896,,,,0,-151.4011888,0,0,Inactive,0,-6.166535387,0,0,Inactive,Inactive,0,-23.31442524,0,0,Inactive,0,-0.194355029,0,0,Inactive,Inactive,0,2.009423624,,,,,,0,-40.73074348,,,,,,,,2 to 2.5 hours,,NA,NA,NA,Use with caution
Epinastine,Antiallergic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",HRH1,histamine receptor antagonist,,,,249.317,2.4668,3,1,0,41.62,1,-3.27,-0.08,,-0.03911,-4.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64%,12 hours,0.4,NA,Hypersensitivity; contact lens related irritation,Category C,Use with caution
Varenicline,Smoking cessation adjunct,"Neuroactive ligand-receptor interaction, Cholinergic synapse","CHRNA3, CHRNA4, CHRNA6, CHRNA7",acetylcholine receptor agonist,,,,211.268,1.8039,3,1,0,37.81,2,,-0.17,,,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 20%.,The elimination half-life of varenicline is approximately 24 hours,87%,None,Hypersensitivity,Category B3,Not recommended
RANOLAZINE,Vasodilator,NA,"SCN10A, SCN9A",sodium channel blocker,,,,427.545,2.30804,6,2,9,74.27,1,,,1.095,0.1142,,,,,39.81071706,-8.402266838,39.8107,43.5234,Inconclusive,0,2.646338673,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-1.24390448,,,,,,0,-28.54426624,,,,,,,Approximately 62% of the administered dose of ranolazine is bound to plasma proteins. Ranolazine appears to have a higher binding affinity for alpha-1 acid glycoprotein,1.80 hours,42.50%,"Ceritinib
Cobicistat
Darunavir
Efavirenz
Eliglustat
Itraconazole
Ketoconazole
Lefamulin
Ribociclib
","Hepatic cirrhosis, including Child-Pugh class A (mild), B (moderate), and C (severe)",Category C,Not recommended
DOMPERIDONE,"Anti-emetic, Prokinetic","Neuroactive ligand-receptor interaction, Dopaminergic synapse","DRD2, DRD3",dopamine receptor antagonist,,,,425.92,3.3532,5,2,5,78.82,0,4.8,-0.11,0.39,0.1608,7.05,,,,11.22018454,-39.77118128,11.2202,59.4962,Inconclusive,0,-6.119265208,0,0,Inactive,Inactive,39.81071706,-14.0227329,39.8107,48.0964,Inconclusive,39.81071706,-9.588627326,39.8107,31.8879,Inconclusive,Cytotoxic,0,16.13006403,,,,,,0,-32.77258697,,,,,,,91%-93%,7.50 hours,15%,NA,NA,Category B2,Not recommended
PILOCARPINE NITRATE,Miotic,"Neuroactive ligand-receptor interaction, Cholinergic synapse, Salivary secretion","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",acetylcholine receptor agonist,,,6.97,271.273,0.8141,6,1,3,107.49,2,,,,0.1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76 hours,,None,"Uncontrolled asthma, anterior eye inflammation, any time miosis in undesirable",Category B3,Use with caution
TRIMETHOBENZAMIDE HYDROCHLORIDE,Anti-emetic,NA,DRD2,histamine receptor antagonist,,,,424.925,3.0046,6,1,10,69.26,0,,,,0.1981,,,,,0,-3.977884476,0,0,Inactive,0,3.390053047,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.168830665,0,0,Inactive,Inactive,0,11.68802218,,,,,,0,-31.32842639,,,,,,,,The mean elimination half-life of trimethobenzamide is 7 to 9 hours.,80%,None,Hypersensitivity,NA,Not recommended
BENZOIC ACID,"Antifungal, Antiseptic",NA,"DAO, HRSP12, PRDX5, RAB9A",food preservative,,,,122.123,1.3848,1,1,1,37.3,0,33.07,-0.19,,,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA
UREA,"Diuretic, Emollient, Keratolytic",NA,"ARG1, CA2, CTNNB1","hydroxy radical formation stimulant
",,,,60.056,-0.9762,1,2,0,69.11,0,19.36,-0.03,,0.04168,18.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Hypersensitivity; Viral skin disease,NA,NA
MICONAZOLE NITRATE,Antifungal,Steroid biosynthesis,"TRPM2, TRPV5",bacterial cell wall synthesis inhibitor,,,,479.147,6.1071,5,1,6,90.42,1,,-0.27,-0.1193,0.003347,14.26,,,,31.6227766,-16.23344465,,,,0,-28.58427325,,,,,,,,,,,,,,,,0,3.535249746,,,,,,12.58925412,-75.55954881,,,,,,,,19.75 hours,25%,NA,Hypersensitivity; milk protein allergy,Category A,Use with caution
TIOPRONIN,Antidote (mercury),NA,,"chelating agent, reducing agent",,,,163.198,-0.4945,3,3,3,66.4,1,,0.15,,0.1099,24.6,,,,0,-71.84311816,0,0,Inactive,0,-20.40846769,0,0,Inactive,Inactive,0,0.985622581,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,1.195151158,,,,,,0,-14.09262405,,,,,,,Tiopronin undergoes extensive protein binding in plasma. It is thought that this occurs through the formation of a disulphide bridge to the free thiol group of albumin.,55 hours,63%,None,Hypersensitivity,NA,Not recommended
MIANSERIN HYDROCHLORIDE,Antidepressant,Neuroactive ligand-receptor interaction,"ADRA1A, ADRA1B, ADRA1D, HRH1, HRH2, HTR2A, HTR2B, HTR2C, HTR6, HTR7",serotonin receptor antagonist,,,8.12,300.833,3.5057,2,0,0,6.48,1,,,,0.2217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90%,9.60 hours,22%,NA,NA,Category B2,Not recommended
BETAHISTINE HYDROCHLORIDE,"Antivertigo, Vasodilator","Calcium signaling pathway, Neuroactive ligand-receptor interaction","HRH1, HRH3","histamine receptor agonist, histamine receptor antagonist",,,,209.12,1.6871,2,1,3,24.92,0,,,,0.1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<5%,"The half-life of betahistine is 3-4 hours.[A220438,A220563,L16388]",,NA,NA,Category B3,Not recommended
BIFONAZOLE,Antifungal,Steroid biosynthesis,,sterol demethylase inhibitor,,,,310.4,5.1878,2,0,4,17.82,1,70.75,-0.11,-0.0446,,-1.13,,,,31.6227766,-23.28488786,31.6228,80.4844,Inconclusive,39.81071706,-10.76359729,39.8107,38.2072,Inconclusive,Cytotoxic,39.81071706,-31.39313483,39.8107,107.675,Inconclusive,0,-10.01068622,0,0,Inactive,Inactive,0,8.893974694,,,,10,36.432,12.58925412,-76.81131184,,,,,14.125375,24.488,,1-2 hours,,NA,NA,Category B3,NA
ENOXACIN,Antibacterial,DNA synthesis/replication,TOP2A,topoisomerase inhibitor,,,,320.324,0.6633,6,2,3,87.46,0,-14.27,-0.12,1.182,,7.669,,,,0,-42.60789196,0,0,Inactive,0,-11.77321733,0,0,Inactive,Inactive,0,-97.27821453,0,0,Inactive,0,2.67367584,0,0,Inactive,Inactive,0,-0.35800246,,,,,,0,-32.15012181,,,,,,,,5.10 hours,87%,NA,NA,Category B3,Not recommended
Rilpivirine,Anti-HIV,NA,"NR1I2, SCN10A",non-nucleoside reverse transcriptase inhibitor,,,,366.428,4.9891,6,2,5,97.42,0,82.1,1.73,,0.1167,-36.34,,,,22.38721139,-49.40789163,22.3872,115.464,Active,28.18382931,-35.58664217,35.4813,42.7423,Inconclusive,Cytotoxic,39.81071706,-70.035117,39.8107,106.141,Inconclusive,15.84893192,-44.46915358,15.8489,42.0715,Inconclusive,Cytotoxic,0,-1.512509932,,,,,,8.912509381,-80.52372913,,,,,,,"Rilpivirine is highly protein-bound thus, >99% of its dose can be bound to plasma protein in a concentration-dependent manner.[A31331] The most important plasma binding proteins is albumin.[FDA label]","Plasma drug elimination is really slow, giving rilpivirine a half-life of 34-55 hours after oral administration.[A31331]",,Carbamazepine; dexamethasone; dexlansoprazole; efavirenz;elvitegravir/cobicistat/emtricitabine/tenofovir DF; eslicarbazepine acetate; esomeprazole; etravirine; fosphenytoin; lansoprazole; nevirapine; omeprazole; oxcarbazepine; pantoprazole; phenobarbital; phenytoin; rabeprazole; rifampin; rifapentine; St John's Wort,Hypersensitivity,Category B1,Not recommended
Cabergoline,"Antiparkinsonian, Antidyskinetic","Neuroactive ligand-receptor interaction, Dopaminergic synapse, Prolactin signaling pathway","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR7",dopamine receptor agonist,,,9.2,451.615,3.1939,4,2,8,71.68,3,,0.2,,,15.57,,,,19.95262315,-98.1251517,19.9526,97.926,Inconclusive,0,2.204313515,0,0,Inactive,Inactive,35.48133892,-0.34513027,35.4813,47.3171,Inconclusive,0,0.152899509,0,0,Inactive,Inactive,12.58925412,68.72586133,,,,,,0,-33.75430762,,,,,,,Moderately bound (40% to 42%) to human plasma proteins in a concentration-independent manner.,The elimination half-life is estimated from urinary data of 12 healthy subjects to range between 63 to 69 hours.,65%,"almotriptan
eletriptan
frovatriptan
glyceryl trinitrate pr
naratriptan
nitroglycerin IV
nitroglycerin sublingual
nitroglycerin topical
nitroglycerin transdermal
nitroglycerin translingual
rizatriptan
sumatriptan
sumatriptan intranasal
zolmitriptan","Uncontrolled hypertension
Hypersensitivity to ergot derivatives
Severe hepatic disease",Category B1,Not recommended
Acrivastine,Antiallergic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",HRH1,histamine receptor antagonist,,,,348.446,4.01532,3,1,6,53.43,0,28.58,0.05,,0.1912,11.52,,,,39.81071706,-18.66364175,39.8107,30.2251,Inconclusive,0,3.466940646,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,3.21311899,0,0,Inactive,Inactive,0,-0.686657643,,,,,,0,-32.0431464,,,,,,,Acrivastine binding to human plasma proteins was 50 ± 2.0%.,The mean terminal half-life for acrivastine was 1.9 ± 0.3 hours following single oral doses and increased to 3.5 ± 1.9 hours at steady state. The terminal half-life for the propionic acid metabolite was 3.8 ± 1.4 hours.,18%,Dihydroergotamine; dihydroergotamine inhaled; dihydroergotamine intranasal; ergoloid mesylates; ergonovine; ergotamine; isocarboxazid; linezolid; methylergonovine; phenelzine; procarbazine; rasagiline; selegiline; selegiline transdermal; tranylcypromine,Hypersensitivity; severe hypertention,NA,Use with caution
Elvitegravir,Anti-HIV,NA,,HIV integrase inhibitor,,,,447.89,4.281,5,2,7,88.76,1,7.47,0.46,,0.1404,10.31,,,,0.001122019,-356.1835003,0,0,Inactive,0,3.679002689,0,0,Inactive,Inactive,12.58925412,-222.6469686,12.5893,80.6309,Active,0,0,0,0,Inactive,Inactive,0,-1.420278371,,,,,,10,-80.60074756,,,,,,,Elvitegravir is 98–99% bound to human plasma proteins,The median terminal plasma half-life following administration of elvitegravir and ritonavir was approximately 8.7 hours.,,NA,NA,Category B2,Not recommended
Dasabuvir,Antiviral,NA,,HCV inhibitor,,,,493.585,4.0236,6,2,5,110.26,0,-10.02,0.55,0.184,0.3029,17.1,,,,5.011872336,-79.47204571,5.0119,32.765,Inconclusive,0,-3.990996553,0,0,Inactive,Inactive,39.81071706,-109.4435869,39.8107,63.7795,Inconclusive,0,0.595987514,0,0,Inactive,Inactive,12.58925412,39.48904639,,,,12.589254,48.664,3.981071706,-41.59730306,,,,,14.125375,42.532,Dasabuvir is greater than 99.5% bound to human plasma proteins [FDA Label].,5.70 hours,The absolute bioavailability of Dasabuvir is 70%.,NA,NA,NA,Use with caution
